Departamento,Hecho Vistimizante,No.Victimas
Magdalena,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,2801
Magdalena,Desaparición forzada,8350
Magdalena,Desplazamiento Forzado,447403
Magdalena,"Homicidio, Masacre",48149
Magdalena,Lesiones Personales Fisicas,204
Magdalena,Lesiones Personales Psicologicas,6
Magdalena,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",177
Magdalena,Perdida de Bienes Muebles o Inmuebles,4451
Magdalena,SIN INFORMACION,0
Magdalena,Secuestro,607
Magdalena,Tortura,610
Magdalena,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",38
Meta,Abandono o Despojo Forzado de Tierras,0
Meta,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",2554
Meta,Amenaza,7384
Meta,Confinamiento,0
Meta,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,873
Meta,Desaparición forzada,15385
Meta,Desplazamiento Forzado,237587
Meta,"Homicidio, Masacre",35209
Meta,Lesiones Personales Fisicas,325
Meta,Lesiones Personales Psicologicas,11
Meta,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",369
Meta,Perdida de Bienes Muebles o Inmuebles,4805
Meta,SIN INFORMACION,4
Meta,Secuestro,1155
Meta,Tortura,315
Meta,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",482
ND,Abandono o Despojo Forzado de Tierras,0
ND,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",13263
ND,Amenaza,16594
ND,Confinamiento,0
ND,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,345
ND,Desaparición forzada,3121
ND,Desplazamiento Forzado,33579
ND,"Homicidio, Masacre",33469
ND,Lesiones Personales Fisicas,601
ND,Lesiones Personales Psicologicas,9
ND,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",1296
ND,Perdida de Bienes Muebles o Inmuebles,42217
ND,SIN INFORMACION,19
ND,Secuestro,10763
ND,Tortura,154
ND,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",8
Nariño,Abandono o Despojo Forzado de Tierras,0
Nariño,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",17720
Nariño,Amenaza,20240
Nariño,Confinamiento,781
Nariño,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,2331
Nariño,Desaparición forzada,5936
Nariño,Desplazamiento Forzado,424221
Nariño,"Homicidio, Masacre",36006
Nariño,Lesiones Personales Fisicas,468
Nariño,Lesiones Personales Psicologicas,46
Nariño,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",488
Nariño,Perdida de Bienes Muebles o Inmuebles,7602
Nariño,SIN INFORMACION,5
Nariño,Secuestro,2324
Nariño,Tortura,961
Nariño,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",165
Norte de Santander,Abandono o Despojo Forzado de Tierras,0
Norte de Santander,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",4825
Norte de Santander,Amenaza,3299
Norte de Santander,Confinamiento,3697
Norte de Santander,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,928
Norte de Santander,Desaparición forzada,4922
Norte de Santander,Desplazamiento Forzado,278750
Norte de Santander,"Homicidio, Masacre",44397
Norte de Santander,Lesiones Personales Fisicas,359
Norte de Santander,Lesiones Personales Psicologicas,21
Norte de Santander,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",302
Norte de Santander,Perdida de Bienes Muebles o Inmuebles,2875
Norte de Santander,SIN INFORMACION,1
Norte de Santander,Secuestro,2031
Norte de Santander,Tortura,350
Norte de Santander,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",95
Putumayo,Abandono o Despojo Forzado de Tierras,0
Putumayo,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",2322
Putumayo,Amenaza,10430
Putumayo,Confinamiento,0
Putumayo,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,1048
Putumayo,Desaparición forzada,4994
Putumayo,Desplazamiento Forzado,146108
Putumayo,"Homicidio, Masacre",26097
Putumayo,Lesiones Personales Fisicas,301
Putumayo,Lesiones Personales Psicologicas,12
Putumayo,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",173
Putumayo,Perdida de Bienes Muebles o Inmuebles,1261
Putumayo,SIN INFORMACION,3
Putumayo,Secuestro,609
Putumayo,Tortura,372
